timestamp,segment,ue,iface,rate_mbps,bytes,status,duration_ms
1774113037,20,1,uesimtun0,27,13500000,ok,9959
1774113037,20,5,uesimtun4,21,10500000,ok,9941
1774113048,21,5,uesimtun4,20,10000000,ok,8990
1774113048,21,3,uesimtun2,26,13000000,ok,9651
1774113048,21,4,uesimtun3,16,8000000,ok,9654
1774113048,21,2,uesimtun1,18,9000000,ok,9793
1774113048,21,1,uesimtun0,24,12000000,ok,9804
1774113059,22,1,uesimtun0,30,15000000,ok,9086
1774113059,22,5,uesimtun4,26,13000000,ok,9377
1774113059,22,4,uesimtun3,20,10000000,ok,9599
1774113059,22,2,uesimtun1,22,11000000,ok,9634
1774113059,22,3,uesimtun2,33,16500000,ok,9685
1774113069,23,2,uesimtun1,27,13500000,ok,9066
1774113069,23,3,uesimtun2,40,20000000,ok,9455
1774113069,23,1,uesimtun0,36,18000000,ok,9542
1774113069,23,4,uesimtun3,24,12000000,ok,9567
1774113069,23,5,uesimtun4,32,16000000,ok,9579
1774113080,24,1,uesimtun0,28,14000000,ok,9907
1774113080,24,5,uesimtun4,24,12000000,ok,10036
1774113080,24,4,uesimtun3,18,9000000,ok,10113
1774113080,24,3,uesimtun2,31,15500000,ok,10116
1774113080,24,2,uesimtun1,21,10500000,ok,10131
1774113091,25,3,uesimtun2,37,18500000,ok,10753
1774113091,25,2,uesimtun1,25,12500000,ok,11049
1774113091,25,5,uesimtun4,30,15000000,ok,11124
1774113091,25,1,uesimtun0,34,17000000,ok,11160
1774113091,25,4,uesimtun3,22,11000000,ok,11185
1774113103,26,4,uesimtun3,17,8500000,ok,10914
1774113103,26,5,uesimtun4,22,11000000,ok,11211
1774113103,26,1,uesimtun0,26,13000000,ok,11293
1774113103,26,3,uesimtun2,29,14500000,ok,11288
1774113103,26,2,uesimtun1,19,9500000,ok,11425
1774113116,27,1,uesimtun0,38,19000000,ok,10852
1774113116,27,4,uesimtun3,25,12500000,ok,11318
1774113116,27,5,uesimtun4,34,17000000,ok,11374
1774113116,27,2,uesimtun1,28,14000000,ok,11422
1774113116,27,3,uesimtun2,42,21000000,ok,11437
1774113128,28,4,uesimtun3,19,9500000,ok,9506
1774113128,28,1,uesimtun0,29,14500000,ok,10116
1774113128,28,2,uesimtun1,20,10000000,ok,10169
1774113128,28,3,uesimtun2,32,16000000,ok,10174
1774113128,28,5,uesimtun4,25,12500000,ok,10176
1774113140,29,1,uesimtun0,35,17500000,ok,10298
1774113140,29,5,uesimtun4,31,15500000,ok,11114
1774113140,29,3,uesimtun2,38,10183821,ok,11266
1774113140,29,4,uesimtun3,23,11500000,ok,11265
1774113140,29,2,uesimtun1,24,12000000,ok,11270
1774113152,30,5,uesimtun4,21,10500000,ok,10086
1774113152,30,4,uesimtun3,16,8000000,ok,10593
1774113152,30,2,uesimtun1,18,9000000,ok,10665
1774113152,30,1,uesimtun0,27,13500000,ok,10677
1774113152,30,3,uesimtun2,30,15000000,ok,10715
1774113164,31,1,uesimtun0,24,12000000,ok,10165
1774113164,31,2,uesimtun1,18,9000000,ok,10807
1774113164,31,4,uesimtun3,16,8000000,ok,11013
1774113164,31,3,uesimtun2,26,13000000,ok,11035
1774113164,31,5,uesimtun4,20,10000000,ok,11045
1774113176,32,4,uesimtun3,20,10000000,ok,10174
1774113176,32,5,uesimtun4,26,13000000,ok,10516
1774113176,32,1,uesimtun0,30,15000000,ok,10747
